#RPLIDAR SCAN DATA
#COUNT=496
#Angule	Distance	Quality
352.1558 1590.0 188
352.7490 1699.0 188
353.4521 1742.0 188
354.1718 1767.0 188
354.8859 1792.0 188
355.5890 1827.0 188
356.3086 1854.0 188
357.0282 1887.0 188
357.6050 1925.0 188
358.3246 1962.0 188
359.0442 2002.0 188
359.7473 2024.0 188
0.4669 2072.0 188
1.1865 2056.0 188
1.9061 2049.0 188
2.6093 2055.0 188
3.3234 2045.0 188
4.0430 2051.0 188
4.7461 2051.0 188
5.4657 2053.0 188
6.1853 2060.0 188
6.8884 2052.0 188
7.6080 2054.0 188
8.3276 2055.0 188
9.0308 2063.0 188
9.7449 2062.0 188
10.4645 2077.0 188
11.1676 2067.0 188
11.8872 2070.0 188
12.6068 2081.0 188
13.3264 2084.0 188
14.0295 2088.0 188
14.7491 2093.0 188
15.4688 2095.0 188
16.1829 2099.0 188
16.9025 2109.0 188
17.6221 2117.0 188
18.3417 2130.0 188
19.0613 2132.0 188
19.7644 2142.0 188
20.4840 2147.0 188
21.1981 2153.0 188
21.9177 2166.0 188
22.6373 2175.0 188
23.3569 2190.0 188
24.0765 2201.0 188
24.7961 2208.0 188
25.4993 2226.0 188
26.2134 2232.0 188
26.8121 2248.0 188
27.5262 2272.0 188
28.2458 2281.0 188
29.0918 2289.0 188
29.8114 2303.0 188
30.5310 2322.0 188
31.1078 2343.0 188
31.9482 2371.0 188
32.5415 2326.0 188
33.3875 2278.0 188
34.1071 2229.0 188
34.8267 2189.0 188
35.5463 2145.0 188
36.2604 2111.0 188
36.9635 2077.0 188
37.6831 2039.0 188
38.4027 2009.0 188
39.1223 1972.0 188
39.8419 1936.0 188
40.6824 1883.0 188
41.4020 1855.0 188
42.1216 1832.0 188
42.8412 1856.0 188
43.4344 1879.0 188
44.2639 1892.0 188
44.9835 1919.0 188
45.5768 1941.0 188
46.2964 1965.0 188
47.0105 1959.0 188
47.7301 1942.0 188
48.5760 1915.0 188
49.2957 1899.0 188
50.0153 1872.0 188
50.6085 1857.0 188
51.4490 1833.0 188
52.1521 1818.0 188
52.8717 1794.0 188
53.5913 1782.0 188
54.3109 1760.0 188
55.0305 1747.0 188
55.7446 1731.0 188
56.4642 1697.0 188
57.3102 1699.0 188
57.9034 1683.0 188
58.7494 1668.0 188
59.3427 1659.0 188
60.1666 1641.0 188
60.8862 1632.0 188
61.6058 1623.0 188
62.3254 1607.0 188
63.0450 1601.0 188
63.7646 1588.0 188
64.4843 1576.0 188
65.1984 1569.0 188
65.9180 1559.0 188
66.6376 1548.0 188
67.3407 1542.0 188
68.0603 1533.0 188
68.7799 1526.0 188
69.4995 1517.0 188
70.2136 1509.0 188
70.9332 1503.0 188
71.6528 1498.0 188
72.3724 1488.0 188
73.0920 1482.0 188
73.8116 1478.0 188
74.6521 1474.0 188
75.2344 1471.0 188
75.9485 1462.0 188
76.6681 1456.0 188
77.3877 1453.0 188
78.2336 1450.0 188
78.8269 1443.0 188
79.6674 1440.0 188
80.2606 1438.0 188
81.1066 1433.0 188
81.6998 1434.0 188
82.4194 1428.0 188
83.2489 1426.0 188
83.8422 1421.0 188
84.6826 1419.0 188
85.2759 1422.0 188
86.1218 1418.0 188
86.8414 1419.0 188
87.5610 1415.0 188
88.1543 1413.0 188
88.9948 1413.0 188
89.7144 1413.0 188
90.4340 1412.0 188
91.1536 1413.0 188
91.8732 1412.0 188
92.5928 1410.0 188
93.3124 1408.0 188
94.0265 1413.0 188
94.7296 1409.0 188
95.4492 1411.0 188
96.0425 1413.0 188
96.8884 1416.0 188
97.4817 1420.0 188
98.3276 1420.0 188
99.0417 1421.0 188
99.7614 1429.0 188
101.0742 1433.0 188
103.4802 1225.0 188
104.1998 1231.0 188
104.9194 1232.0 188
105.5127 1235.0 188
106.3422 1240.0 188
107.6550 1250.0 188
109.3414 1150.0 188
110.0610 1105.0 188
110.9015 1065.0 188
111.6211 1024.0 188
112.3242 986.0 188
113.1702 953.0 188
113.8898 919.0 188
114.6094 894.0 188
115.4498 866.0 188
116.2958 840.0 188
117.0154 814.0 188
117.6086 795.0 188
118.4326 773.0 188
119.4049 754.0 188
119.9982 737.0 188
120.7178 719.0 188
121.5582 702.0 188
122.2778 685.0 188
123.2446 671.0 188
123.8434 657.0 188
124.6674 643.0 188
125.2606 630.0 188
126.1066 619.0 188
126.8262 607.0 188
127.6666 596.0 188
128.5126 586.0 188
129.1058 576.0 188
129.9518 565.0 188
130.5286 557.0 188
131.6217 548.0 188
132.2150 538.0 188
132.8082 531.0 188
133.6542 523.0 188
134.4946 516.0 188
135.1978 507.0 188
135.9174 501.0 188
136.8896 496.0 188
137.3566 488.0 188
138.3234 483.0 188
139.1693 476.0 188
139.6198 471.0 188
140.3394 466.0 188
141.3116 461.0 188
142.1521 455.0 188
142.7454 451.0 188
143.5913 445.0 188
144.3109 442.0 188
145.0140 437.0 188
145.8545 434.0 188
146.7004 430.0 188
147.4200 426.0 188
148.1396 421.0 188
148.8593 418.0 188
149.5624 415.0 188
150.4028 410.0 188
150.9961 408.0 188
151.9684 406.0 188
152.6825 402.0 188
153.5284 398.0 188
153.8745 397.0 188
154.5776 393.0 188
155.2917 392.0 188
156.2640 389.0 188
156.8573 386.0 188
157.8241 384.0 188
158.2965 382.0 188
159.2633 380.0 188
159.8566 378.0 188
160.7025 376.0 188
161.4166 375.0 188
162.1198 372.0 188
162.8394 371.0 188
163.8116 370.0 188
164.4049 368.0 188
164.8718 366.0 188
165.7178 365.0 188
166.6846 364.0 188
167.1515 362.0 188
167.8711 362.0 188
168.7170 361.0 188
169.4366 360.0 188
170.0134 359.0 188
170.9802 358.0 188
171.9525 357.0 188
172.4194 356.0 188
173.3862 355.0 188
173.7323 355.0 188
174.4519 354.0 188
175.2924 354.0 188
176.1383 353.0 188
176.9843 352.0 188
177.6984 352.0 188
178.0280 352.0 188
179.2474 351.0 188
179.8407 352.0 188
180.2966 351.0 188
181.0107 351.0 188
181.9830 352.0 188
182.7026 351.0 188
183.2794 351.0 188
183.9990 351.0 188
184.5923 351.0 188
185.1691 353.0 188
186.1359 352.0 188
186.9818 353.0 188
187.3279 353.0 188
188.0310 353.0 188
188.7451 355.0 188
189.8438 355.0 188
190.4205 356.0 188
191.2610 356.0 188
191.4807 358.0 188
192.7002 359.0 188
192.9034 360.0 188
194.1229 360.0 188
194.4635 362.0 188
195.1666 362.0 188
196.0126 364.0 188
196.6058 366.0 188
197.4518 366.0 188
197.7759 368.0 188
198.6218 369.0 188
199.5886 370.0 188
200.1874 372.0 188
201.0114 373.0 188
201.4838 375.0 188
201.9507 377.0 188
202.7966 379.0 188
203.6371 381.0 188
204.0930 383.0 188
205.0598 385.0 188
205.4059 387.0 188
206.3727 388.0 188
206.9659 392.0 188
207.6691 393.0 188
208.5150 396.0 188
209.1083 399.0 188
209.8279 401.0 188
210.5420 404.0 188
211.1353 407.0 188
211.8384 409.0 188
212.5580 412.0 188
213.2776 416.0 188
213.8708 420.0 188
214.5905 422.0 188
215.5463 425.0 188
216.0132 430.0 188
216.6064 434.0 188
