x y z
-119.345279 37.279164 0.000000
-119.389418 37.284404 0.000000
-119.428622 37.291970 0.000000
-119.471285 37.295965 0.000000
-119.507322 37.304234 0.000000
-119.867046 37.065089 0.000000
-119.893180 37.065891 0.000000
-119.918373 37.066269 0.000000
-119.936081 37.075457 0.000000
-119.961138 37.075222 0.000000
-119.981408 37.079888 0.000000
-120.002235 37.083489 0.000000
-120.018752 37.091187 0.000000
-120.128351 36.962057 0.000000
-120.142497 36.967490 0.000000
-120.159511 36.967253 0.000000
-120.173697 36.969651 0.000000
-120.192519 36.966220 0.000000
-120.392367 36.630223 0.000000
-120.157567 37.096196 0.000000
-120.175084 37.099917 0.000000
-120.187516 37.111920 0.000000
-120.239671 37.116495 0.000000
-120.256489 37.121307 0.000000
-120.272456 37.123893 0.000000
-120.286960 37.127028 0.000000
-120.304940 37.128363 0.000000
-120.320458 37.132061 0.000000
-120.338800 37.128302 0.000000
-120.354709 37.131326 0.000000
-120.370897 37.136800 0.000000
-120.385108 37.139891 0.000000
-120.400621 37.150857 0.000000
-120.291648 38.818785 0.000000
-120.343416 38.860392 0.000000
-120.397997 38.865882 0.000000
-120.453430 38.870156 0.000000
-120.507060 38.876705 0.000000
-120.563647 38.881728 0.000000
-120.620262 38.892974 0.000000
-120.677373 38.910443 0.000000
-120.732407 38.911812 0.000000
-120.790780 38.920631 0.000000
-120.847445 38.927151 0.000000
-120.905837 38.923534 0.000000
-120.965282 38.938230 0.000000
-121.029405 38.952463 0.000000
-121.090056 38.956102 0.000000
-121.153732 38.967948 0.000000
-121.204841 38.927164 0.000000
-121.284079 38.988505 0.000000
-121.351874 39.000442 0.000000
-121.421053 39.009655 0.000000
-121.493613 39.029753 0.000000
-121.560494 39.025085 0.000000
-121.639855 39.049969 0.000000
-121.713891 39.055970 0.000000
-121.783754 39.049892 0.000000
-121.875166 39.082256 0.000000
-121.951543 39.081004 0.000000
-122.045779 39.110446 0.000000
-122.136268 39.124391 0.000000
-122.347174 39.321528 0.000000
-122.461748 39.352722 0.000000
-122.568596 39.372922 0.000000
-122.683427 39.394894 0.000000
-122.904671 39.405498 0.000000
-122.992625 39.375832 0.000000
-123.073471 39.335876 0.000000
-123.139974 39.278965 0.000000
-123.594439 39.624930 0.000000
-123.620812 39.510489 0.000000
-123.754625 39.500730 0.000000
-123.763310 39.371517 0.000000
-123.766126 39.245154 0.000000
-123.774977 39.125311 0.000000
-123.804017 39.026710 0.000000
-123.804485 38.908865 0.000000
-123.830482 38.813087 0.000000
-123.854918 38.716762 0.000000
-123.879277 38.623535 0.000000
-123.847963 38.497588 0.000000
-123.881912 38.410933 0.000000
-123.894698 38.315759 0.000000
-123.926575 38.233610 0.000000
-123.948213 38.146866 0.000000
-123.946215 38.049965 0.000000
-123.945262 37.954498 0.000000
-123.961408 37.868079 0.000000
-123.965603 37.780088 0.000000
-123.988637 37.697033 0.000000
-123.985435 37.609703 0.000000
-124.001047 37.526555 0.000000
-124.013501 37.442966 0.000000
-124.023713 37.361386 0.000000
-124.049785 37.283122 0.000000
-124.050897 37.198062 0.000000
-124.074541 37.118176 0.000000
-124.090562 37.037636 0.000000
-124.071748 36.952822 0.000000
-124.087554 36.870765 0.000000
-124.111918 36.794350 0.000000
-124.091139 36.712531 0.000000
-124.497834 36.656392 0.000000
-122.629122 36.485482 0.000000
-122.470153 36.433491 0.000000
-122.475540 36.389255 0.000000
-122.488632 36.342827 0.000000
-122.497776 36.298174 0.000000
-122.499109 36.252521 0.000000
-122.503085 36.205810 0.000000
-122.512819 36.159101 0.000000
-122.515538 36.112743 0.000000
-122.517941 36.066012 0.000000
-122.528844 36.017171 0.000000
-122.527219 35.969557 0.000000
-122.533697 35.918409 0.000000
-122.544034 35.866578 0.000000
-122.554843 35.814758 0.000000
-122.550588 35.765892 0.000000
-122.568832 35.709584 0.000000
-122.569426 35.656724 0.000000
-122.587821 35.595412 0.000000
-122.586966 35.542173 0.000000
-122.597097 35.481797 0.000000
-122.619844 35.413879 0.000000
-122.658218 35.337262 0.000000
-124.087532 34.340556 0.000000
-124.100723 34.225002 0.000000
-124.138198 34.087524 0.000000
-124.133958 33.976478 0.000000
-124.202155 33.807234 0.000000
-124.201226 33.684807 0.000000
-124.106518 33.625590 0.000000
-123.630875 33.873603 0.000000
-123.578528 33.800565 0.000000
-123.500100 33.750074 0.000000
-123.417104 33.705318 0.000000
-123.354665 33.641160 0.000000
-123.311371 33.556205 0.000000
-123.232761 33.508093 0.000000
-123.083517 33.539056 0.000000
-122.938063 33.574060 0.000000
-122.947166 33.432923 0.000000
-124.181027 31.758087 0.000000
-124.045972 31.715695 0.000000
-123.909571 31.678814 0.000000
-123.738178 31.696435 0.000000
-123.586305 31.696363 0.000000
-123.462723 31.652469 0.000000
-123.335839 31.619604 0.000000
-123.207714 31.595326 0.000000
-123.069479 31.590587 0.000000
-122.948202 31.558635 0.000000
-122.798466 31.588457 0.000000
-122.678085 31.553109 0.000000
-122.566000 31.515201 0.000000
-122.436765 31.513360 0.000000
-122.312939 31.507145 0.000000
-122.200667 31.477332 0.000000
-122.077189 31.478642 0.000000
-121.943441 31.515383 0.000000
-121.848088 31.436104 0.000000
-121.720035 31.471275 0.000000
-120.621150 35.582381 0.000000
-120.559421 35.813673 0.000000
-120.542947 35.822564 0.000000
-120.526624 35.838894 0.000000
-120.513823 35.844572 0.000000
-120.501288 35.850530 0.000000
-120.486681 35.853188 0.000000
-120.473471 35.852225 0.000000
-120.461927 35.852042 0.000000
-120.448440 35.849917 0.000000
-120.435234 35.841830 0.000000
-120.423486 35.818853 0.000000
-120.408971 35.815157 0.000000
-120.341639 35.602430 0.000000
-119.835930 32.914330 0.000000
-120.248702 35.524754 0.000000
-120.229241 35.535275 0.000000
-120.212458 35.550482 0.000000
-120.187238 35.532385 0.000000
-119.999937 35.204003 0.000000
-119.968336 35.199971 0.000000
-119.484804 34.384372 0.000000
-119.473891 34.471111 0.000000
-119.462403 34.557435 0.000000
-119.452102 34.633562 0.000000
-119.443467 34.709342 0.000000
-119.436076 34.782954 0.000000
-119.426524 34.847583 0.000000
-119.416346 34.907484 0.000000
-119.411632 34.972352 0.000000
-119.403298 35.028011 0.000000
-119.394210 35.080664 0.000000
-119.387475 35.132886 0.000000
-119.354080 35.151812 0.000000
-119.716809 35.983729 0.000000
-119.811403 36.061553 0.000000
-119.772309 36.058024 0.000000
-119.732568 36.057017 0.000000
-119.688188 36.077570 0.000000
-119.279197 35.916249 0.000000
-119.280234 35.949590 0.000000
-119.277018 35.978502 0.000000
-119.274260 36.007245 0.000000
-119.272279 36.038083 0.000000
-119.263014 36.064302 0.000000
-119.260666 36.093151 0.000000
-119.256411 36.120945 0.000000
-119.253551 36.149977 0.000000
-119.248928 36.178505 0.000000
-119.245942 36.205894 0.000000
-119.236099 36.232528 0.000000
-119.236306 36.260350 0.000000
-119.232413 36.287582 0.000000
-119.229288 36.315945 0.000000
-119.225873 36.343307 0.000000
-119.219089 36.369942 0.000000
-119.216867 36.397582 0.000000
-119.210517 36.426706 0.000000
-119.208291 36.454282 0.000000
-119.202766 36.483897 0.000000
-119.198753 36.511284 0.000000
-119.196565 36.541209 0.000000
-119.255727 36.562582 0.000000
-119.251027 36.591920 0.000000
-119.245940 36.621051 0.000000
-119.180737 36.659890 0.000000
-119.175836 36.690202 0.000000
-119.172949 36.720911 0.000000
-119.169581 36.752192 0.000000
-119.166004 36.784040 0.000000
-119.346467 36.764892 0.000000
-119.354911 36.789486 0.000000
-119.367168 36.813381 0.000000
-119.383904 36.834702 0.000000
-119.381746 36.864437 0.000000
-119.393209 36.888868 0.000000
-119.403090 36.912582 0.000000
-119.406763 36.939399 0.000000
-119.409991 36.966864 0.000000
-119.412098 36.995804 0.000000
-119.412856 37.025752 0.000000
-119.091553 37.327748 0.000000
