x y z
0.784495 0.488419 0.000000
0.784118 0.497003 0.000000
0.785163 0.500570 0.000000
0.785051 0.506497 0.000000
0.785210 0.517571 0.000000
0.786247 0.525659 0.000000
0.791702 0.528846 0.000000
1.135071 0.552792 0.000000
1.132399 0.568514 0.000000
1.135182 0.586104 0.000000
1.136672 0.600189 0.000000
1.136578 0.617971 0.000000
1.138578 0.634065 0.000000
1.139371 0.650518 0.000000
1.140507 0.665939 0.000000
1.142362 0.682305 0.000000
1.143275 0.699838 0.000000
1.146352 0.716542 0.000000
1.145983 0.733889 0.000000
1.147677 0.753217 0.000000
1.148819 0.769897 0.000000
1.150142 0.789275 0.000000
1.151280 0.809890 0.000000
1.152481 0.828646 0.000000
1.155235 0.849066 0.000000
1.156470 0.868842 0.000000
1.157356 0.891569 0.000000
1.159655 0.913868 0.000000
1.161841 0.935064 0.000000
1.162441 0.958512 0.000000
1.166806 0.983150 0.000000
1.166978 1.009113 0.000000
1.168911 1.034770 0.000000
1.172806 1.062072 0.000000
1.175035 1.092308 0.000000
1.177310 1.121674 0.000000
1.180458 1.153842 0.000000
1.184805 1.189097 0.000000
1.185920 1.222596 0.000000
0.896216 0.987847 0.000000
0.891614 1.004943 0.000000
0.878799 1.012491 0.000000
0.751002 0.881747 0.000000
0.745983 0.892994 0.000000
0.731612 0.889750 0.000000
0.714512 0.884100 0.000000
0.710845 0.898901 0.000000
0.703501 0.906007 0.000000
0.690770 0.907507 0.000000
0.686354 0.921265 0.000000
0.677827 0.926206 0.000000
0.673305 0.940619 0.000000
0.664959 0.950428 0.000000
0.658535 0.963212 0.000000
0.650915 0.975906 0.000000
0.643865 0.990495 0.000000
0.636419 1.007549 0.000000
0.636439 1.040380 0.000000
1.108219 3.053826 0.000000
1.062379 3.133243 0.000000
1.010500 3.206269 0.000000
0.959580 3.302928 0.000000
0.901460 3.368235 0.000000
0.835004 3.399994 0.000000
0.765676 3.413765 0.000000
0.695039 3.425171 0.000000
0.625491 3.432525 0.000000
0.555874 3.445460 0.000000
0.483345 3.441219 0.000000
0.413256 3.442742 0.000000
0.340981 3.452737 0.000000
0.270349 3.453328 0.000000
0.198657 3.453626 0.000000
0.125202 3.471868 0.000000
0.049530 3.485050 0.000000
-0.026194 3.491600 0.000000
-0.098915 3.482391 0.000000
-0.177892 3.503782 0.000000
-0.256002 3.496824 0.000000
-0.336481 3.508711 0.000000
-0.386609 3.417691 0.000000
-0.464419 3.419335 0.000000
-0.550455 3.440323 0.000000
-0.601204 3.360494 0.000000
-0.619462 3.207096 0.000000
-0.628566 3.047682 0.000000
-0.632196 2.900073 0.000000
-0.643642 2.776045 0.000000
-0.653371 2.660054 0.000000
-0.658769 2.548935 0.000000
-0.670226 2.456901 0.000000
-0.675671 2.359859 0.000000
-0.679252 2.269218 0.000000
-0.699019 2.206803 0.000000
-0.747426 2.189053 0.000000
-0.750214 2.109004 0.000000
-0.751879 2.032383 0.000000
-0.715210 1.915834 0.000000
-0.721798 1.855884 0.000000
-0.726358 1.796648 0.000000
-0.728602 1.738517 0.000000
-0.734553 1.684018 0.000000
-0.738561 1.631855 0.000000
-0.744741 1.583630 0.000000
-0.748391 1.533344 0.000000
-0.750633 1.487621 0.000000
-0.753731 1.440920 0.000000
-0.758896 1.398230 0.000000
-0.759376 1.354110 0.000000
-0.769258 1.315866 0.000000
-0.770321 1.274935 0.000000
-0.774919 1.236653 0.000000
-0.775135 1.194638 0.000000
-0.779539 1.158858 0.000000
-0.781192 1.121144 0.000000
-0.787408 1.085810 0.000000
-0.788442 1.049617 0.000000
-0.789575 1.015731 0.000000
-0.794345 0.981330 0.000000
-0.798443 0.947856 0.000000
-0.796281 0.912435 0.000000
-0.798610 0.877373 0.000000
-0.804251 0.845002 0.000000
-0.808276 0.813874 0.000000
-0.811416 0.780865 0.000000
-0.808978 0.748883 0.000000
-0.815315 0.717501 0.000000
-0.814866 0.683750 0.000000
-0.821050 0.653044 0.000000
-0.817864 0.620408 0.000000
-0.825550 0.589669 0.000000
-0.825791 0.557362 0.000000
-0.827990 0.524728 0.000000
-0.831176 0.494126 0.000000
-0.833766 0.460479 0.000000
-0.835324 0.427785 0.000000
-0.837242 0.396688 0.000000
-0.843176 0.363046 0.000000
-0.842966 0.330916 0.000000
